STATISTIC,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1998 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",180
Vehicles Licensed for the First Time,1998 September,Secondhand Vehicles,4334
Vehicles Licensed for the First Time,1998 September,Secondhand Private Cars,3233
Vehicles Licensed for the First Time,1998 September,Secondhand Goods Vehicles,517
Vehicles Licensed for the First Time,1998 September,Secondhand Tractors,199
Vehicles Licensed for the First Time,1998 September,Secondhand Other Vehicles,208
Vehicles Licensed for the First Time,1998 September,Secondhand Motor Cycles,177
Vehicles Licensed for the First Time,1998 October,All Vehicles,13626
Vehicles Licensed for the First Time,1998 October,New Vehicles,8865
Vehicles Licensed for the First Time,1998 October,New Private Cars,6511
Vehicles Licensed for the First Time,1998 October,New Goods Vehicles,1602
Vehicles Licensed for the First Time,1998 October,New Tractors,177
Vehicles Licensed for the First Time,1998 October,New Motor Cycles,242
Vehicles Licensed for the First Time,1998 October,New Exempt Vehicles,162
Vehicles Licensed for the First Time,1998 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",171
Vehicles Licensed for the First Time,1998 October,Secondhand Vehicles,4761
Vehicles Licensed for the First Time,1998 October,Secondhand Private Cars,3559
Vehicles Licensed for the First Time,1998 October,Secondhand Goods Vehicles,573
Vehicles Licensed for the First Time,1998 October,Secondhand Tractors,215
Vehicles Licensed for the First Time,1998 October,Secondhand Other Vehicles,243
Vehicles Licensed for the First Time,1998 October,Secondhand Motor Cycles,171
Vehicles Licensed for the First Time,1998 November,All Vehicles,12826
Vehicles Licensed for the First Time,1998 November,New Vehicles,7821
Vehicles Licensed for the First Time,1998 November,New Private Cars,5419
Vehicles Licensed for the First Time,1998 November,New Goods Vehicles,1626
Vehicles Licensed for the First Time,1998 November,New Tractors,178
Vehicles Licensed for the First Time,1998 November,New Motor Cycles,313
Vehicles Licensed for the First Time,1998 November,New Exempt Vehicles,125
Vehicles Licensed for the First Time,1998 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",160
Vehicles Licensed for the First Time,1998 November,Secondhand Vehicles,5005
Vehicles Licensed for the First Time,1998 November,Secondhand Private Cars,3703
Vehicles Licensed for the First Time,1998 November,Secondhand Goods Vehicles,605
Vehicles Licensed for the First Time,1998 November,Secondhand Tractors,285
Vehicles Licensed for the First Time,1998 November,Secondhand Other Vehicles,233
Vehicles Licensed for the First Time,1998 November,Secondhand Motor Cycles,179
Vehicles Licensed for the First Time,1998 December,All Vehicles,9751
Vehicles Licensed for the First Time,1998 December,New Vehicles,5087
