Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Intangible Assets,331
Expenditure on GNP at Current Market Prices,1997Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1997Q3,Value of Physical Changes in Stocks,-101
Expenditure on GNP at Current Market Prices,1997Q3,Exports of Goods and Services (excluding Factor Income Flows),13811
Expenditure on GNP at Current Market Prices,1997Q3,Imports of Goods and Services (excluding Factor Income Flows),-11169
Expenditure on GNP at Current Market Prices,1997Q3,Gross Domestic Product at Market Prices,17388
Expenditure on GNP at Current Market Prices,1997Q3,Net Factor Income from the Rest of the World,-1707
Expenditure on GNP at Current Market Prices,1997Q3,Gross National Product at Market Prices,15681
Expenditure on GNP at Current Market Prices,1997Q3,Statistical Discrepancy,109
Expenditure on GNP at Current Market Prices,1997Q3,Export of Goods (excluding Factor Income Flows),11922
Expenditure on GNP at Current Market Prices,1997Q3,Import of Goods (excluding Factor Income Flows),-8023
Expenditure on GNP at Current Market Prices,1997Q3,Export of Services (excluding Factor Income Flows),1889
Expenditure on GNP at Current Market Prices,1997Q3,Import of Services (excluding Factor Income Flows),-3146
Expenditure on GNP at Current Market Prices,1997Q3,Final Domestic Demand,14738
Expenditure on GNP at Current Market Prices,1997Q3,Total Domestic Demand,14637
Expenditure on GNP at Current Market Prices,1997Q4,Personal Expenditure on Consumer Goods and Services,10080
Expenditure on GNP at Current Market Prices,1997Q4,Household & NPISH Final Consumption Expenditure,9886
Expenditure on GNP at Current Market Prices,1997Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,2815
Expenditure on GNP at Current Market Prices,1997Q4,General Government Expenditure on Goods & Services provided to Households,1870
Expenditure on GNP at Current Market Prices,1997Q4,General Government Collective Consumption Expenditure,1139
Expenditure on GNP at Current Market Prices,1997Q4,General Government Final Consumption Expenditure,3009
Expenditure on GNP at Current Market Prices,1997Q4,Gross Domestic Fixed Capital Formation,4098
Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Dwellings,863
Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Improvements,296
Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Other Building and Construction,1068
Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Transfer Costs,161
Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Machinery and Equipment,1320
Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,24
Expenditure on GNP at Current Market Prices,1997Q4,Gross domestic fixed capital formation - Intangible Assets,390
Expenditure on GNP at Current Market Prices,1997Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1997Q4,Value of Physical Changes in Stocks,265
Expenditure on GNP at Current Market Prices,1997Q4,Exports of Goods and Services (excluding Factor Income Flows),14584
Expenditure on GNP at Current Market Prices,1997Q4,Imports of Goods and Services (excluding Factor Income Flows),-12312
Expenditure on GNP at Current Market Prices,1997Q4,Gross Domestic Product at Market Prices,18540
Expenditure on GNP at Current Market Prices,1997Q4,Net Factor Income from the Rest of the World,-1898
Expenditure on GNP at Current Market Prices,1997Q4,Gross National Product at Market Prices,16642
Expenditure on GNP at Current Market Prices,1997Q4,Statistical Discrepancy,-989
Expenditure on GNP at Current Market Prices,1997Q4,Export of Goods (excluding Factor Income Flows),12589
Expenditure on GNP at Current Market Prices,1997Q4,Import of Goods (excluding Factor Income Flows),-8844
Expenditure on GNP at Current Market Prices,1997Q4,Export of Services (excluding Factor Income Flows),1995
Expenditure on GNP at Current Market Prices,1997Q4,Import of Services (excluding Factor Income Flows),-3468
Expenditure on GNP at Current Market Prices,1997Q4,Final Domestic Demand,16993
Expenditure on GNP at Current Market Prices,1997Q4,Total Domestic Demand,17257
Expenditure on GNP at Current Market Prices,1998Q1,Personal Expenditure on Consumer Goods and Services,9280
Expenditure on GNP at Current Market Prices,1998Q1,Household & NPISH Final Consumption Expenditure,9069
Expenditure on GNP at Current Market Prices,1998Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2712
Expenditure on GNP at Current Market Prices,1998Q1,General Government Expenditure on Goods & Services provided to Households,1844
Expenditure on GNP at Current Market Prices,1998Q1,General Government Collective Consumption Expenditure,1080
Expenditure on GNP at Current Market Prices,1998Q1,General Government Final Consumption Expenditure,2924
Expenditure on GNP at Current Market Prices,1998Q1,Gross Domestic Fixed Capital Formation,4366
Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Dwellings,863
Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Improvements,287
Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Other Building and Construction,990
Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Transfer Costs,172
Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Machinery and Equipment,1696
Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,59
Expenditure on GNP at Current Market Prices,1998Q1,Gross domestic fixed capital formation - Intangible Assets,358
Expenditure on GNP at Current Market Prices,1998Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1998Q1,Value of Physical Changes in Stocks,336
Expenditure on GNP at Current Market Prices,1998Q1,Exports of Goods and Services (excluding Factor Income Flows),15804
Expenditure on GNP at Current Market Prices,1998Q1,Imports of Goods and Services (excluding Factor Income Flows),-14133
Expenditure on GNP at Current Market Prices,1998Q1,Gross Domestic Product at Market Prices,19132
Expenditure on GNP at Current Market Prices,1998Q1,Net Factor Income from the Rest of the World,-2129
Expenditure on GNP at Current Market Prices,1998Q1,Gross National Product at Market Prices,17003
Expenditure on GNP at Current Market Prices,1998Q1,Statistical Discrepancy,767
Expenditure on GNP at Current Market Prices,1998Q1,Export of Goods (excluding Factor Income Flows),13142
Expenditure on GNP at Current Market Prices,1998Q1,Import of Goods (excluding Factor Income Flows),-9744
Expenditure on GNP at Current Market Prices,1998Q1,Export of Services (excluding Factor Income Flows),2662
Expenditure on GNP at Current Market Prices,1998Q1,Import of Services (excluding Factor Income Flows),-4389
Expenditure on GNP at Current Market Prices,1998Q1,Final Domestic Demand,16359
Expenditure on GNP at Current Market Prices,1998Q1,Total Domestic Demand,16695
Expenditure on GNP at Current Market Prices,1998Q2,Personal Expenditure on Consumer Goods and Services,9743
Expenditure on GNP at Current Market Prices,1998Q2,Household & NPISH Final Consumption Expenditure,9520
Expenditure on GNP at Current Market Prices,1998Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2814
Expenditure on GNP at Current Market Prices,1998Q2,General Government Expenditure on Goods & Services provided to Households,1915
Expenditure on GNP at Current Market Prices,1998Q2,General Government Collective Consumption Expenditure,1122
Expenditure on GNP at Current Market Prices,1998Q2,General Government Final Consumption Expenditure,3037
Expenditure on GNP at Current Market Prices,1998Q2,Gross Domestic Fixed Capital Formation,4511
Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Dwellings,997
Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Improvements,263
Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Other Building and Construction,1014
Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Transfer Costs,172
Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Machinery and Equipment,1665
Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,163
Expenditure on GNP at Current Market Prices,1998Q2,Gross domestic fixed capital formation - Intangible Assets,400
Expenditure on GNP at Current Market Prices,1998Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1998Q2,Value of Physical Changes in Stocks,404
Expenditure on GNP at Current Market Prices,1998Q2,Exports of Goods and Services (excluding Factor Income Flows),16724
Expenditure on GNP at Current Market Prices,1998Q2,Imports of Goods and Services (excluding Factor Income Flows),-14398
Expenditure on GNP at Current Market Prices,1998Q2,Gross Domestic Product at Market Prices,20071
Expenditure on GNP at Current Market Prices,1998Q2,Net Factor Income from the Rest of the World,-2484
Expenditure on GNP at Current Market Prices,1998Q2,Gross National Product at Market Prices,17587
Expenditure on GNP at Current Market Prices,1998Q2,Statistical Discrepancy,272
Expenditure on GNP at Current Market Prices,1998Q2,Export of Goods (excluding Factor Income Flows),13503
Expenditure on GNP at Current Market Prices,1998Q2,Import of Goods (excluding Factor Income Flows),-9817
Expenditure on GNP at Current Market Prices,1998Q2,Export of Services (excluding Factor Income Flows),3221
Expenditure on GNP at Current Market Prices,1998Q2,Import of Services (excluding Factor Income Flows),-4581
Expenditure on GNP at Current Market Prices,1998Q2,Final Domestic Demand,17069
Expenditure on GNP at Current Market Prices,1998Q2,Total Domestic Demand,17473
Expenditure on GNP at Current Market Prices,1998Q3,Personal Expenditure on Consumer Goods and Services,9921
Expenditure on GNP at Current Market Prices,1998Q3,Household & NPISH Final Consumption Expenditure,9695
Expenditure on GNP at Current Market Prices,1998Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2911
Expenditure on GNP at Current Market Prices,1998Q3,General Government Expenditure on Goods & Services provided to Households,1978
Expenditure on GNP at Current Market Prices,1998Q3,General Government Collective Consumption Expenditure,1159
Expenditure on GNP at Current Market Prices,1998Q3,General Government Final Consumption Expenditure,3138
Expenditure on GNP at Current Market Prices,1998Q3,Gross Domestic Fixed Capital Formation,4423
Expenditure on GNP at Current Market Prices,1998Q3,Gross domestic fixed capital formation - Dwellings,1094
Expenditure on GNP at Current Market Prices,1998Q3,Gross domestic fixed capital formation - Improvements,308
Expenditure on GNP at Current Market Prices,1998Q3,Gross domestic fixed capital formation - Other Building and Construction,1185
Expenditure on GNP at Current Market Prices,1998Q3,Gross domestic fixed capital formation - Transfer Costs,212
Expenditure on GNP at Current Market Prices,1998Q3,Gross domestic fixed capital formation - Machinery and Equipment,1245
Expenditure on GNP at Current Market Prices,1998Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,21
Expenditure on GNP at Current Market Prices,1998Q3,Gross domestic fixed capital formation - Intangible Assets,380
