Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices,1997Q1,Export of Goods (excluding Factor Income Flows),10131
Expenditure on GNP at Current Market Prices,1997Q1,Import of Goods (excluding Factor Income Flows),-7473
Expenditure on GNP at Current Market Prices,1997Q1,Export of Services (excluding Factor Income Flows),1606
Expenditure on GNP at Current Market Prices,1997Q1,Import of Services (excluding Factor Income Flows),-2930
Expenditure on GNP at Current Market Prices,1997Q1,Final Domestic Demand,14017
Expenditure on GNP at Current Market Prices,1997Q1,Total Domestic Demand,14361
Expenditure on GNP at Current Market Prices,1997Q2,Personal Expenditure on Consumer Goods and Services,8536
Expenditure on GNP at Current Market Prices,1997Q2,Household & NPISH Final Consumption Expenditure,8378
Expenditure on GNP at Current Market Prices,1997Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,2644
Expenditure on GNP at Current Market Prices,1997Q2,General Government Expenditure on Goods & Services provided to Households,1741
Expenditure on GNP at Current Market Prices,1997Q2,General Government Collective Consumption Expenditure,1060
Expenditure on GNP at Current Market Prices,1997Q2,General Government Final Consumption Expenditure,2801
Expenditure on GNP at Current Market Prices,1997Q2,Gross Domestic Fixed Capital Formation,3702
Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Dwellings,767
Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Improvements,261
Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Other Building and Construction,871
Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Transfer Costs,131
Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Machinery and Equipment,1338
Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,134
Expenditure on GNP at Current Market Prices,1997Q2,Gross domestic fixed capital formation - Intangible Assets,334
Expenditure on GNP at Current Market Prices,1997Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1997Q2,Value of Physical Changes in Stocks,313
Expenditure on GNP at Current Market Prices,1997Q2,Exports of Goods and Services (excluding Factor Income Flows),13393
Expenditure on GNP at Current Market Prices,1997Q2,Imports of Goods and Services (excluding Factor Income Flows),-11327
Expenditure on GNP at Current Market Prices,1997Q2,Gross Domestic Product at Market Prices,17360
Expenditure on GNP at Current Market Prices,1997Q2,Net Factor Income from the Rest of the World,-2213
Expenditure on GNP at Current Market Prices,1997Q2,Gross National Product at Market Prices,15147
Expenditure on GNP at Current Market Prices,1997Q2,Statistical Discrepancy,99
Expenditure on GNP at Current Market Prices,1997Q2,Export of Goods (excluding Factor Income Flows),11561
Expenditure on GNP at Current Market Prices,1997Q2,Import of Goods (excluding Factor Income Flows),-8136
Expenditure on GNP at Current Market Prices,1997Q2,Export of Services (excluding Factor Income Flows),1832
Expenditure on GNP at Current Market Prices,1997Q2,Import of Services (excluding Factor Income Flows),-3191
Expenditure on GNP at Current Market Prices,1997Q2,Final Domestic Demand,14882
Expenditure on GNP at Current Market Prices,1997Q2,Total Domestic Demand,15194
Expenditure on GNP at Current Market Prices,1997Q3,Personal Expenditure on Consumer Goods and Services,8714
Expenditure on GNP at Current Market Prices,1997Q3,Household & NPISH Final Consumption Expenditure,8550
Expenditure on GNP at Current Market Prices,1997Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2610
Expenditure on GNP at Current Market Prices,1997Q3,General Government Expenditure on Goods & Services provided to Households,1724
Expenditure on GNP at Current Market Prices,1997Q3,General Government Collective Consumption Expenditure,1050
Expenditure on GNP at Current Market Prices,1997Q3,General Government Final Consumption Expenditure,2773
Expenditure on GNP at Current Market Prices,1997Q3,Gross Domestic Fixed Capital Formation,3414
Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Dwellings,859
Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Improvements,284
Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Other Building and Construction,934
Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Transfer Costs,162
Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Machinery and Equipment,845
Expenditure on GNP at Current Market Prices,1997Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,10
